run_id,timestamp,course_name,module_name,module_type,status,block_reason,evidence,next_action
run-20260405-221303-c898e2,2026-04-05T16:44:12.182521+00:00,Introduction 3m 48s,Introduction,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:44:13.634370+00:00,Introduction 3m 48s,Module-1 : Anger and its types,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:44:14.946827+00:00,Introduction 3m 48s,Module-2 : Causes and Effects of Anger,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:44:16.298123+00:00,Introduction 3m 48s,Module 3 : Anger Management,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:44:17.540732+00:00,Introduction 3m 48s,Module 4 : Tips to Manage Anger,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:44:19.223536+00:00,Introduction 3m 48s,MODULE 5 : Conclusion,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:44:51.275076+00:00,Introduction 3m 48s,"5x, selected",video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:50:18.214037+00:00,Introduction 3m 48s,Module-1 : Anger and its types,quiz,done,,Assessment skipped by configuration (--skip-assessments); sidebar tick detected after confirmation,Continue to next eligible module
run-20260405-221303-c898e2,2026-04-05T16:50:21.140785+00:00,Introduction 3m 48s,Module-2 : Causes and Effects of Anger,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:50:23.654236+00:00,Introduction 3m 48s,Module 3 : Anger Management,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:50:25.735816+00:00,Introduction 3m 48s,Module 4 : Tips to Manage Anger,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:50:27.221215+00:00,Introduction 3m 48s,MODULE 5 : Conclusion,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:54:00.687530+00:00,Introduction 3m 48s,Untitled Module,video,partial,,"video playback progressing (0.0s -> 7.8s), completion not yet confirmed",Allow playback to complete and rerun audit
run-20260405-221303-c898e2,2026-04-05T16:54:07.551318+00:00,Introduction 3m 48s,2 star star star star star 122.2K ratings,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:54:13.697454+00:00,Introduction 3m 48s,Module-2 : Causes and Effects of Anger,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:54:20.078689+00:00,Introduction 3m 48s,Module 3 : Anger Management,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:54:25.102922+00:00,Introduction 3m 48s,Module 4 : Tips to Manage Anger,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:54:30.946835+00:00,Introduction 3m 48s,MODULE 5 : Conclusion,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:57:11.960074+00:00,Introduction 3m 48s,2 star star star star star 122.2K ratings,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:57:16.450625+00:00,Introduction 3m 48s,Module-2 : Causes and Effects of Anger,video,blocked,timer_lock,Blocked by detected condition: timer_lock,Schedule revisit and continue with another module/course
run-20260405-221303-c898e2,2026-04-05T16:57:23.549832+00:00,Introduction 3m 48s,Module 3 : Anger Management,quiz,partial,,Assessment skipped by configuration (--skip-assessments),Complete this assessment manually later
run-20260405-221303-c898e2,2026-04-05T16:57:30.879008+00:00,Introduction 3m 48s,Module 4 : Tips to Manage Anger,quiz,partial,,Assessment skipped by configuration (--skip-assessments),Complete this assessment manually later
